collectid,spp,sizeclass,cbh,ht
108,to,<2.5,0.0,1.6
108,to,<6,3.4,7.3
108,to,<7,3.9,7.4
108,to,<10,7.1,12.4
108,df,<2.5,0.0,2.3
108,df,<5,1.3,5.5
108,gf,<2.5,0.9,4.1
109,df,<2.5,0.5,1.9
109,df,<5,0.4,3.8
109,df,<6,1.3,5.9
109,to,<2.5,0.0,1.9
109,to,<5,0.4,4.5
109,to,<9,0.5,5.9
109,rw,<2.5,0.4,2.7
109,rw,<5,0.0,3.1
109,md,<2.5,0.4,2.7
110,to,<2.5,0.2,2.9
110,to,<5,1.0,3.5
110,rw,<2.5,0.0,1.8
110,rw,<5,0.9,3.9
110,gf,<2.5,1.8,2.7
110,gf,<5,1.4,4.9
110,gf,<6,3.5,4.5
110,gf,<9,1.5,9.7
110,gf,<10,3.3,8.2
110,wm,<2.5,1.3,2.6
110,wm,<9,3.9,6.6
111,to,<2.5,0.4,1.7
111,to,<5,2.5,5.7
111,to,<6,3.2,6.7
111,to,<7,0.0,4.8
111,to,<8,2.3,6.6
111,to,<10,0.0,5.8
111,df,<2.5,0.0,3.2
111,df,<5,0.8,4.6
111,rw,<2.5,1.1,1.7
111,rw,<5,1.4,3.0
111,rw,<6,0.2,5.1
111,wm,<2.5,1.1,1.8
112,to,<2.5,0.3,2.9
112,to,<5,0.0,3.6
112,to,<6,0.0,4.3
112,to,<8,1.0,4.8
112,df,<2.5,0.6,2.5
112,df,<5,1.1,3.9
112,df,<7,1.0,5.5
112,df,<10,2.8,11.3
112,rw,<2.5,0.0,3.4
112,gf,<2.5,0.0,3.1
112,gf,<5,0.8,4.1
112,gf,<6,1.1,6.3
112,gf,<8,0.2,5.5
112,gf,<9,0.5,7.9
108,to,<9,3.0,10.3
113,rw,<2.5,0.8,1.4
113,rw,<5,3.1,6.0
113,rw,<7,3.6,7.5
113,rw,<9,3.6,5.5
113,to,<2.5,1.0,2.5
113,to,<5,0.8,3.2
113,to,<6,1.4,4.3
113,to,<8,0.0,5.9
113,to,<10,1.4,8.6
113,df,<2.5,0.5,1.5
113,df,<5,0.5,4.2
113,gf,<2.5,0.5,2.8
114,to,<2.5,0.3,2.9
114,to,<6,0.2,7.3
114,to,<7,1.4,6.5
114,to,<9,1.0,6.6
114,df,<2.5,0.0,1.8
114,df,<5,0.3,3.4
114,gf,<5,0.0,3.5
114,gf,<9,1.0,8.0
114,sx,<8,6.6,11.0
114,sx,<8,7.4,11.0
114,sx,<9,5.9,10.1
114,sx,<10,5.1,9.7
114,rw,<9,1.0,5.8
115,rw,<2.5,0.6,2.5
115,rw,<5,1.7,4.5
115,rw,<6,1.4,5.0
115,to,<2.5,0.0,1.8
115,to,<5,1.1,3.4
115,to,<6,0.0,6.4
115,to,<7,0.7,5.2
